,UNIT,station_name,lat,lng,location_string
403,R413,KNICKERBOCKER,40.698666,-73.919685,"40.698666,-73.919685"
404,R414,HOWARD BCH-JFK,40.660476,-73.830301,"40.660476,-73.830301"
405,R415,BROAD CHANNEL,40.608693,-73.816068,"40.608693,-73.816068"
406,R416,BEACH 90 ST,40.588032,-73.813684,"40.588032,-73.813684"
407,R417,BEACH 98 ST,40.585514,-73.820143,"40.585514,-73.820143"
408,R418,BEACH 105 ST,40.583542,-73.82643,"40.583542,-73.82643"
409,R419,ROCKAWAY PK 116,40.580454,-73.837459,"40.580454,-73.837459"
410,R420,DITMAS AVE,40.63615,-73.978179,"40.63615,-73.978179"
411,R421,AVE I,40.625305,-73.975732,"40.625305,-73.975732"
412,R422,22 AVE-BAY PKY,40.620907,-73.975453,"40.620907,-73.975453"
413,R423,AVE N,40.615174,-73.974166,"40.615174,-73.974166"
414,R424,AVE P,40.609147,-73.972986,"40.609147,-73.972986"
415,R425,AVE U,40.596065,-73.973329,"40.596065,-73.973329"
416,R426,NEPTUNE AVE,40.580992,-73.974531,"40.580992,-73.974531"
417,R427,MIDDLETOWN ROAD,40.843635,-73.836687,"40.843635,-73.836687"
418,R428,BUHRE AVE,40.846817,-73.832545,"40.846817,-73.832545"
419,R429,PELHAM BAY PARK,40.852465,-73.828125,"40.852465,-73.828125"
420,R430,PELHAM PARKWAY,40.858973,-73.855355,"40.858973,-73.855355"
421,R431,DYRE AVE,40.888244,-73.83085,"40.888244,-73.83085"
422,R432,CHAUNCEY ST,40.682867,-73.91048,"40.682867,-73.91048"
423,R433,ALABAMA AVE,40.677107,-73.898871,"40.677107,-73.898871"
424,R434,VAN SICLEN AVE,40.678018,-73.891726,"40.678018,-73.891726"
425,R435,CLEVELAND ST,40.679938,-73.884687,"40.679938,-73.884687"
426,R436,NORWOOD AVE,40.681598,-73.880074,"40.681598,-73.880074"
427,R437,CRESCENT ST,40.683209,-73.873765,"40.683209,-73.873765"
428,R438,RALPH AVE,40.678815,-73.920801,"40.678815,-73.920801"
429,R439,ROCKAWAY AVE,40.67836,-73.911939,"40.67836,-73.911939"
430,R440,LIBERTY AVE,40.674552,-73.896554,"40.674552,-73.896554"
431,R441,VAN SICLEN AVE,40.672786,-73.890438,"40.672786,-73.890438"
432,R442,SHEPHERD AVE,40.674161,-73.880761,"40.674161,-73.880761"
433,R443,170 ST,40.839301,-73.913355,"40.839301,-73.913355"
434,R444,NEREID AVE,40.898382,-73.854389,"40.898382,-73.854389"
435,R445,138 ST-3 AVE,40.810512,-73.926165,"40.810512,-73.926165"
436,R446,BROOK AVE,40.808044,-73.919234,"40.808044,-73.919234"
437,R447,CYPRESS AVE,40.805737,-73.914471,"40.805737,-73.914471"
438,R448,E 143 ST,40.808742,-73.90769,"40.808742,-73.90769"
439,R449,E 149 ST,40.812104,-73.904085,"40.812104,-73.904085"
440,R450,LONGWOOD AVE,40.816083,-73.89606,"40.816083,-73.89606"
441,R451,WINTHROP ST,40.656648,-73.950198,"40.656648,-73.950198"
442,R452,72 ST,40.778575,-73.981912,"40.778575,-73.981912"
443,R453,23 ST-6 AVE,40.742981,-73.992727,"40.742981,-73.992727"
444,R454,PROSPECT AVE,40.665405,-73.992877,"40.665405,-73.992877"
445,R455,25 ST,40.66043,-73.997944,"40.66043,-73.997944"
446,R456,HOYT ST,40.690545,-73.985065,"40.690545,-73.985065"
447,R459,ORCHARD BEACH,40.852417,-73.828082,"40.852417,-73.828082"
448,R460,MARCY AVE,40.708377,-73.957751,"40.708377,-73.957751"
449,R461,BROADWAY/LAFAY,40.725297,-73.996204,"40.725297,-73.996204"
450,R462,CANAL ST,40.718697,-74.000977,"40.718697,-74.000977"
451,R463,CANAL ST,40.718697,-74.000977,"40.718697,-74.000977"
452,R464,AQUEDUCT TRACK,40.668221,-73.834026,"40.668221,-73.834026"
453,R468,RIT-MANHATTAN,40.761268,-73.964016,"40.761268,-73.964016"
454,R469,RIT-ROOSEVELT,40.7574,-73.954006,"40.7574,-73.954006"
455,R470,ELTINGVILLE PK,40.5446,-74.164581,"40.5446,-74.164581"
456,R535,JFK HOWARD BCH,40.660476,-73.830301,"40.660476,-73.830301"
457,R536,JFK JAMAICA CT1,40.643942,-73.782356,"40.643942,-73.782356"
458,R570,72 ST-2 AVE,40.7686869,-73.9584429,"40.7686869,-73.9584429"
459,R571,86 ST-2 AVE,40.7686862,-73.9584429,"40.7686862,-73.9584429"
460,R572,96 ST-2 AVE,40.7807028,-73.9494105,"40.7807028,-73.9494105"
