,UNIT,station_name,lat,lng,location_string
259,R267,46 ST,40.756312,-73.913333,"40.756312,-73.913333"
260,R268,LORIMER ST,40.713875,-73.951592,"40.713875,-73.951592"
261,R269,BEDFORD/NOSTRAN,40.689636,-73.953459,"40.689636,-73.953459"
262,R270,SMITH-9 ST,40.673714,-73.996139,"40.673714,-73.996139"
263,R271,AVE X,40.589547,-73.974295,"40.589547,-73.974295"
264,R272,28 ST,40.747224,-73.99336,"40.747224,-73.99336"
265,R273,145 ST,40.826426,-73.950412,"40.826426,-73.950412"
266,R274,191 ST,40.855176,-73.929384,"40.855176,-73.929384"
267,R275,183 ST,40.858389,-73.903828,"40.858389,-73.903828"
268,R276,VERNON/JACKSON,40.742624,-73.953545,"40.742624,-73.953545"
269,R277,PRESIDENT ST,40.667879,-73.950648,"40.667879,-73.950648"
270,R278,25 ST,40.660481,-73.998059,"40.660481,-73.998059"
271,R279,JEFFERSON ST,40.706636,-73.922925,"40.706636,-73.922925"
272,R280,190 ST,40.859022,-73.93419,"40.859022,-73.93419"
273,R281,72 ST,40.775545,-73.976398,"40.775545,-73.976398"
274,R282,SPRING ST,40.726202,-74.003627,"40.726202,-74.003627"
275,R283,LAFAYETTE AVE,40.68617,-73.973908,"40.68617,-73.973908"
276,R284,CLINTON-WASH AV,40.683263,-73.965838,"40.683263,-73.965838"
277,R285,FAR ROCKAWAY,40.603983,-73.755383,"40.603983,-73.755383"
278,R286,MYRTLE-WILLOUGH,40.694568,-73.949046,"40.694568,-73.949046"
279,R287,CLASSON AVE,40.688855,-73.960025,"40.688855,-73.960025"
280,R288,7 AV-PARK SLOPE,40.666276,-73.980324,"40.666276,-73.980324"
281,R289,FT HAMILTON PKY,40.650722,-73.975818,"40.650722,-73.975818"
282,R290,HOUSTON ST,40.728202,-74.005344,"40.728202,-74.005344"
283,R291,33 ST/RAWSON ST,40.744558,-73.930993,"40.744558,-73.930993"
284,R292,BAYCHESTER AVE,40.878656,-73.838596,"40.878656,-73.838596"
285,R293,34 ST-PENN STA,40.750264,-73.992984,"40.750264,-73.992984"
286,R294,MORGAN AVE,40.706148,-73.93316,"40.706148,-73.93316"
287,R295,WILSON AVE,40.688676,-73.903999,"40.688676,-73.903999"
288,R296,163 ST-AMSTERDM,40.835957,-73.939898,"40.835957,-73.939898"
289,R297,FRANKLIN AVE,40.681159,-73.956056,"40.681159,-73.956056"
290,R298,NORTHERN BLVD,40.752898,-73.905973,"40.752898,-73.905973"
291,R299,BROADWAY,40.7061,-73.950348,"40.7061,-73.950348"
292,R300,2 AVE,40.723291,-73.989873,"40.723291,-73.989873"
293,R301,YORK ST,40.699756,-73.98689,"40.699756,-73.98689"
294,R302,57 ST,40.763625,-73.977449,"40.763625,-73.977449"
295,R303,21 ST,40.7541,-73.94258,"40.7541,-73.94258"
296,R304,RECTOR ST,40.70784,-74.013691,"40.70784,-74.013691"
297,R305,CORTLANDT ST,40.710454,-74.011324,"40.710454,-74.011324"
298,R306,238 ST,40.884821,-73.900759,"40.884821,-73.900759"
299,R307,138 ST-GR CONC,40.813208,-73.929877,"40.813208,-73.929877"
300,R308,MT EDEN AVE,40.844406,-73.914621,"40.844406,-73.914621"
301,R309,176 ST,40.848635,-73.912497,"40.848635,-73.912497"
302,R310,111 ST,40.75176,-73.855183,"40.75176,-73.855183"
303,R311,BOWERY,40.720315,-73.994014,"40.720315,-73.994014"
304,R312,W 8 ST-AQUARIUM,40.576152,-73.975925,"40.576152,-73.975925"
305,R313,BUSHWICK AVE,40.682558,-73.905501,"40.682558,-73.905501"
306,R314,103 ST,40.796105,-73.961399,"40.796105,-73.961399"
307,R315,155 ST,40.829934,-73.938632,"40.829934,-73.938632"
308,R316,FLUSHING AVE,40.700374,-73.950284,"40.700374,-73.950284"
309,R317,CLINTON-WASH AV,40.688123,-73.966742,"40.688123,-73.966742"
310,R318,FULTON ST,40.68713,-73.975346,"40.68713,-73.975346"
311,R319,LEXINGTON AVE,40.764763,-73.966291,"40.764763,-73.966291"
312,R320,CANAL ST,40.722819,-74.006267,"40.722819,-74.006267"
313,R321,18 ST,40.741096,-73.997877,"40.741096,-73.997877"
314,R322,SPRING ST,40.722397,-73.997211,"40.722397,-73.997211"
315,R323,110 ST-CPN,40.79911,-73.951807,"40.79911,-73.951807"
316,R324,116 ST,40.802098,-73.949625,"40.802098,-73.949625"
317,R325,WHITLOCK AVE,40.826508,-73.886425,"40.826508,-73.886425"
